Date,Gold_Price,Oil_Price,SP500_Price,Gold_ETF_Volume,SP500_Volume,Fear_VIX
2026-01-02,4314.39990234375,57.31999969482422,6858.47021484375,10372600.0,4184120000.0,14.510000228881836
2026-01-05,4436.89990234375,58.31999969482422,6902.0498046875,13410600.0,5771930000.0,14.899999618530273
2026-01-06,4482.2001953125,57.130001068115234,6944.81982421875,11640900.0,5509680000.0,14.75
2026-01-07,4449.2998046875,55.9900016784668,6920.93017578125,10589500.0,5214480000.0,15.380000114440918
2026-01-08,4449.7001953125,57.7599983215332,6921.4599609375,8705900.0,5333200000.0,15.449999809265137
2026-01-09,4490.2998046875,59.119998931884766,6966.27978515625,14011200.0,5163900000.0,14.489999771118164
2026-01-12,4604.2998046875,59.5,6977.27001953125,20904100.0,5019040000.0,15.119999885559082
2026-01-13,4589.2001953125,61.150001525878906,6963.740234375,16681200.0,5091730000.0,15.979999542236328
2026-01-14,4626.2998046875,62.02000045776367,6926.60009765625,18305500.0,5530830000.0,16.75
2026-01-15,4616.2998046875,59.189998626708984,6944.47021484375,14253200.0,5114050000.0,15.84000015258789
2026-01-16,4588.39990234375,59.439998626708984,6940.009765625,20951600.0,5356550000.0,15.859999656677246
2026-01-20,4759.60009765625,60.34000015258789,6796.85986328125,21308100.0,5769500000.0,20.09000015258789
2026-01-21,4831.7998046875,60.619998931884766,6875.6201171875,38830200.0,5835520000.0,16.899999618530273
2026-01-22,4908.7998046875,59.36000061035156,6913.35009765625,19251200.0,5307580000.0,15.640000343322754
2026-01-23,4976.2001953125,61.06999969482422,6915.60986328125,21531900.0,4871930000.0,16.09000015258789
2026-01-26,5079.7001953125,60.630001068115234,6950.22998046875,34156000.0,4968050000.0,16.149999618530273
2026-01-27,5079.89990234375,62.38999938964844,6978.60009765625,28386200.0,5331720000.0,16.350000381469727
2026-01-28,5301.60009765625,63.209999084472656,6978.02978515625,44154600.0,5507670000.0,16.350000381469727
2026-01-29,5318.39990234375,65.41999816894531,6969.009765625,69970900.0,6877780000.0,16.8799991607666
2026-01-30,4713.89990234375,65.20999908447266,6939.02978515625,86593500.0,6697340000.0,17.440000534057617
2026-02-02,4622.5,62.13999938964844,6976.43994140625,41626200.0,5772050000.0,16.34000015258789
2026-02-03,4903.7001953125,63.209999084472656,6917.81005859375,28703500.0,7017660000.0,18.0
2026-02-04,4920.39990234375,65.13999938964844,6882.72021484375,24427900.0,7475750000.0,18.639999389648438
2026-02-05,4861.39990234375,63.290000915527344,6798.39990234375,17718100.0,6989120000.0,21.770000457763672
2026-02-06,4951.2001953125,63.54999923706055,6932.2998046875,12663900.0,6283680000.0,20.3700008392334
2026-02-09,5050.89990234375,64.36000061035156,6964.81982421875,12330900.0,5650260000.0,17.360000610351562
2026-02-10,5003.7998046875,63.959999084472656,6941.81005859375,7861600.0,5595950000.0,17.790000915527344
2026-02-11,5071.60009765625,64.62999725341797,6941.47021484375,11209600.0,6175510000.0,17.649999618530273
2026-02-12,4923.7001953125,62.84000015258789,6832.759765625,20488800.0,7118700000.0,20.81999969482422
2026-02-13,5022.0,62.88999938964844,6836.169921875,12359300.0,5718360000.0,20.600000381469727
2026-02-17,4882.89990234375,62.33000183105469,6843.22021484375,10976100.0,5418480000.0,20.290000915527344
2026-02-18,4986.5,65.19000244140625,6881.31005859375,10226300.0,5098160000.0,19.6200008392334
2026-02-19,4975.89990234375,66.43000030517578,6861.89013671875,8411400.0,5151690000.0,20.229999542236328
2026-02-20,5059.2998046875,66.38999938964844,6909.509765625,14316300.0,5432480000.0,19.09000015258789
2026-02-23,5204.7001953125,66.30999755859375,6837.75,17441600.0,5638350000.0,21.010000228881836
2026-02-24,5155.7998046875,65.62999725341797,6890.06982421875,14147100.0,5266090000.0,19.549999237060547
2026-02-25,5206.39990234375,65.41999816894531,6946.1298828125,12954300.0,5328060000.0,17.93000030517578
2026-02-26,5176.5,65.20999908447266,6908.85986328125,12375000.0,5889550000.0,18.6299991607666
2026-02-27,5230.5,67.0199966430664,6878.8798828125,16795100.0,6665660000.0,19.860000610351562
2026-03-02,5294.39990234375,71.2300033569336,6881.6201171875,19916600.0,6079080000.0,21.440000534057617
2026-03-03,5107.39990234375,74.55999755859375,6816.6298828125,22591500.0,6442080000.0,23.56999969482422
2026-03-04,5120.2001953125,74.66000366210938,6869.5,9985900.0,5252170000.0,21.149999618530273
2026-03-05,5065.2998046875,81.01000213623047,6830.7099609375,11674800.0,5989300000.0,23.75
2026-03-06,5146.10009765625,90.9000015258789,6740.02001953125,10489800.0,5793120000.0,29.489999771118164
2026-03-09,5091.5,94.7699966430664,6795.990234375,8829800.0,6709410000.0,25.5
2026-03-10,5229.7001953125,83.44999694824219,6781.47998046875,9616800.0,5944950000.0,24.93000030517578
2026-03-11,5167.39990234375,87.25,6775.7998046875,7522900.0,5511090000.0,24.229999542236328
2026-03-12,5115.7998046875,95.7300033569336,6672.6201171875,11900600.0,6292170000.0,27.290000915527344
2026-03-13,5052.5,98.70999908447266,6632.18994140625,11741600.0,5337120000.0,27.190000534057617
2026-03-16,4994.0,93.5,6699.3798828125,8964100.0,5176290000.0,23.510000228881836
2026-03-17,5001.0,96.20999908447266,6716.08984375,7610100.0,5063390000.0,22.3700008392334
2026-03-18,4889.89990234375,96.31999969482422,6624.7001953125,18375600.0,5275480000.0,25.09000015258789
2026-03-19,4600.7001953125,96.13999938964844,6606.490234375,30206000.0,5973390000.0,24.059999465942383
2026-03-20,4570.39990234375,98.31999969482422,6506.47998046875,27204900.0,10025820000.0,26.780000686645508
2026-03-23,4404.10009765625,88.12999725341797,6581.0,36796800.0,6020650000.0,26.149999618530273
2026-03-24,4399.2998046875,92.3499984741211,6556.3701171875,17478500.0,5278580000.0,26.950000762939453
2026-03-25,4549.7998046875,90.31999969482422,6591.89990234375,15713200.0,4936720000.0,25.329999923706055
